Toxic_Chain_Index,Annotator_NR,Annotator_SR,Annotator_SS,Inter_Annotator,KernelCPD
2867,"[10, 17]","[10, 17]",[10],"[10, 17]",[21]
3174,"[6, 10, 13, 17]","[6, 11, 17]","[6, 10, 17]","[6, 10, 17]","[6, 10, 12, 21]"
4068,"[1, 10, 14]","[1, 9, 14]","[1, 10, 14]","[1, 10, 14]","[11, 13, 15, 20]"
4111,"[2, 10, 13]","[1, 4, 8, 10, 13]","[8, 10, 13]","[8, 10, 13]","[1, 3, 8, 10, 12, 16, 21]"
4169,[10],[10],[10],[10],"[8, 14, 20, 21]"
5734,[10],[10],[10],[10],"[9, 10, 12, 14, 21]"
6031,"[2, 9, 11]","[1, 9, 11]","[1, 2, 9, 11]","[1, 2, 9, 11]","[8, 9, 12, 14]"
6458,"[5, 14]","[5, 13]","[5, 14]","[5, 14]","[3, 7, 15, 17, 20, 21]"
1123,"[10, 16]","[10, 13, 16]","[10, 13, 16]","[10, 13, 16]","[2, 4, 10, 12, 13, 15, 17, 21]"
2214,"[1, 4, 8, 10, 14]","[1, 4, 8, 10, 14]","[0, 8, 10, 14]","[1, 4, 8, 10, 14]","[2, 5, 7, 9, 10, 15, 21]"
2216,"[2, 6, 8, 12]","[2, 6, 8, 12]","[2, 6, 12]","[2, 6, 8, 12]","[3, 5, 7, 8, 13, 21]"
2741,"[0, 10, 12]","[1, 5, 10, 12]","[1, 5, 10, 12]","[1, 5, 10, 12]","[2, 5, 7, 10, 13, 14, 21]"
3284,"[5, 10, 13]","[1, 5, 9, 13]","[1, 5, 10, 12]","[1, 5, 10, 13]","[1, 5, 7, 10, 13, 14, 21]"
3900,"[3, 6, 9]","[9,12]","[6, 9]","[6, 9]","[7, 10, 13]"
4077,"[4, 10, 16, 18]","[4, 10, 16, 18]","[4, 10, 17]","[4, 10, 16, 18]","[9, 10, 12, 17, 19, 21]"
4156,"[6, 8, 11, 15]","[6, 8, 11, 15]","[7, 11, 15]","[6, 8, 11, 15]","[6, 9, 11, 14, 21]"
4232,"[9, 12, 17, 19]","[9, 12, 17, 19]","[9,12, 15]","[9, 12, 17, 19]","[9, 10, 13, 17, 19, 21]"
4400,"[4, 10]","[4, 10]","[4,10]","[4, 10]","[9, 10, 12, 21]"
4517,"[0, 10, 14]","[1, 10, 14]","[1,10]","[1, 10, 14]","[1, 11, 12, 20, 21]"
5228,"[10, 12, 15, 18]","[10, 12, 15, 18]","[11, 15, 18]","[10, 12, 15, 18]","[16, 19, 21]"
6163,"[9, 11]","[9, 11]","[9, 11]","[9, 11]","[3, 6, 10, 12, 16]"
6548,[10],[10],[10],[10],"[6, 10, 12, 16, 21]"
6603,"[5, 11, 14]","[5, 11, 13]","[2, 4, 8, 14]","[5, 11, 14]","[2, 5, 7, 16]"
357,"[1, 3, 5, 8, 14]","[1, 3, 5, 8, 14]","[1, 3, 5, 8]","[1, 3, 5, 8, 14]","[3, 8, 10, 13, 15, 21]"
403,"[0, 6, 11, 20]","[1, 6, 11, 16, 20]","[6, 11]","[6, 11, 20]","[2, 6, 10, 12, 21]"
895,"[1, 3, 5, 9, 12, 16]","[1, 3, 5, 9, 13, 15]","[1, 3, 10, 12, 16]","[1, 3, 5, 9, 12, 16]","[1, 12, 21]"
1967,"[1, 4, 9, 15, 17, 20]","[1, 4, 9, 15, 17, 20]","[2, 10, 16]","[1, 4, 9, 15, 17, 20]","[10, 21]"
2068,"[10, 20]","[10, 20]","[10, 19]","[10, 20]","[7, 9, 10, 12, 18, 21]"
2108,"[5, 10]","[5, 10]","[5, 10]","[5, 10]","[5, 7, 10, 12, 21]"
2561,"[4, 8, 14, 16, 18]","[4, 7, 9, 16, 18]","[2, 8, 14]","[4, 8, 14, 16, 18]","[5, 17, 20]"
2726,"[1, 3, 6, 10, 18]","[1, 3, 6, 10, 18]","[1, 5, 10, 18]","[1, 3, 6, 10, 18]","[8, 10, 12, 18, 20, 21]"
3029,"[9, 11]","[9, 11]",[9],"[9, 11]","[9, 11, 12]"
3331,"[0, 4, 8, 12]","[4, 8, 12, 14]","[0, 3, 7, 9, 12]","[0, 4, 8, 12]","[2, 4, 9, 13, 17]"
3397,"[2, 5, 7, 9, 13]","[2, 5, 7, 10, 13]","[2, 4, 9, 14]","[2, 5, 7, 9, 13]","[3, 6, 12, 14, 21]"
3648,"[10, 14, 16]","[10, 14, 16]","[10, 13]","[10, 14, 16]","[4, 15, 18, 21]"
3902,"[3, 9]","[3, 9]","[3, 9]","[3, 9]","[6, 9, 11, 12, 20]"
4175,"[10, 14]","[10, 14]",[10],"[10, 14]","[10, 12, 14, 16, 21]"
4603,"[2, 10, 20]","[2, 6, 10, 20]","[2, 10, 19]","[2, 10, 20]","[2, 4, 6, 10, 12, 13, 17, 21]"
4608,"[6, 12]","[2, 6, 11, 13]","[1, 4, 7]",[6],"[2, 6, 13, 15, 16]"
5245,"[10, 20]","[10, 20]","[10, 12]","[10, 20]","[9, 10, 12, 21]"
6027,"[2, 5, 10, 12]","[2, 5, 10, 12]","[2, 5, 10]","[2, 5, 10, 12]","[7, 10, 13, 21]"
6741,[10],[10],[10],[10],"[10, 12, 16, 18, 21]"
6982,[10],[10],[10],[10],"[10, 12, 21]"
17,"[9, 11, 16]","[8, 10, 15]","[1, 9, 12, 16]","[9, 16]","[9, 12, 15, 16, 18, 21]"
267,"[1, 9, 12, 16]","[1, 9, 12, 16]","[1, 11]","[1, 9, 12, 16]","[1, 3, 9, 13, 16, 18, 21]"
275,"[3, 6, 10, 17]","[3, 6, 10, 17]","[3, 6, 10]","[3, 6, 10, 17]","[3, 15, 16, 18, 21]"
371,"[1, 4, 15, 20]","[1, 4, 15, 20]","[1, 8, 11, 14]","[1, 4, 15, 20]","[2, 4, 14, 16, 20, 21]"
551,[10],"[8, 10]","[1, 8]","[8, 10]","[8, 10, 12, 21]"
603,"[8, 10, 12, 15]","[8, 10, 12, 15]",[10],"[8, 10, 12, 15]","[2, 5, 8, 11, 16, 21]"
622,"[0, 9, 11, 18]","[0, 9, 11, 18]","[1, 4, 18]","[0, 9, 11, 18]","[2, 9, 12, 21]"
695,"[2, 7, 10, 13]","[2, 4, 7, 10, 13]","[7, 13]	","[2, 7, 10, 13]","[2, 5, 9, 10, 12, 21]"
770,"[1, 5, 8, 12]","[1, 5, 8, 12]","[1, 3, 7, 13]","[1, 5, 8, 12]","[6, 8, 10, 20]"
922,"[3, 9, 11, 20]","[1, 3, 7, 10, 14]",[10],"[3, 10]","[5, 8, 15, 21]"
967,"[5, 11, 20]","[1, 3, 5, 11, 20]","[1, 10]","[1, 5, 11, 20]","[1, 3, 5, 10, 21]"
989,"[3, 8, 12, 14]","[3, 8, 12, 14, 16]","[2, 4, 10, 12, 14]","[3, 8, 12, 14]","[3, 5, 9, 17, 21]"
996,"[5, 8, 10, 13]","[5, 8, 10, 14]","[2, 10]","[5, 8, 10]","[6, 8, 18, 21]"
1088,"[7, 10, 20]","[7, 10, 20]","[1, 7, 10]","[7, 10, 20]","[2, 4, 8, 11, 12, 20, 21]"
1093,"[1, 8, 15]","[1, 9, 15]","[1, 8, 11]","[1, 8, 15]","[1, 3, 9, 17, 21]"
1365,"[2, 10, 13]","[2, 8, 10, 13]",[10],"[2, 10, 13]","[2, 4, 8, 10, 12, 15, 21]"
1547,"[10, 12, 17]","[10, 12, 17]","[10, 12, 17]","[10, 12, 17]","[2, 10, 12, 14, 17, 19, 21]"
1625,"[1, 10]","[1, 10]","[1, 10]","[1, 10]","[3, 10, 12, 21]"
1638,"[3, 7, 10, 12, 14]","[3, 7, 9, 11, 13]","[1, 3, 5, 7, 10, 12, 14]","[3, 7, 10, 12, 14]","[4, 9, 10, 12, 21]"
2064,"[6, 12]","[6, 8, 10, 12]","[5, 7, 10, 11]","[6, 10, 12]","[6, 9, 10, 12, 13, 21]"
2097,"[2, 5, 8, 13, 16, 20]","[2, 5, 8, 13, 16, 20]","[2, 5, 7, 10, 14, 16, 19]","[2, 5, 8, 13, 16, 20]","[3, 9, 12, 21]"
2236,"[1, 7, 15]","[1, 7, 15]","[1, 6, 10, 14]","[1, 7, 15]","[16, 21]"
2309,"[1, 3]","[1, 3, 8]",[2],"[1, 3]","[2, 4, 13]"
2479,"[10, 16]","[10, 16]","[1, 10, 16]","[10, 16]","[2, 6, 10, 12, 16, 18, 21]"
2831,"[3, 9, 15]","[3, 9, 13]","[3, 9, 11]","[3, 9]","[3, 5, 8, 13, 14, 16, 21]"
3225,"[8, 14, 16, 19]","[8, 14, 16, 19]","[13, 16, 19]","[8, 14, 16, 19]","[10, 20, 21]"
3713,"[10, 17]","[10, 17]","[10, 17]","[10, 17]","[10, 12, 18, 19, 21]"
4312,"[1, 4, 10]","[1, 4, 10]","[2, 4, 10, 13, 14]","[1, 4, 10]","[1, 10, 12, 18]"
4626,[10],[10],[10],[10],"[10, 12, 21]"
4831,"[10, 13]","[10, 13]","[10, 13]","[10, 13]","[10, 12, 14, 21]"
